Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
Scandal,2012,7.7,93,True,False,False,False
Hunter x Hunter,2011,8.9,0,True,True,False,False
One Day at a Time,2017,8.2,99,True,False,False,False
DC's Legends of Tomorrow,2016,6.8,87,True,False,False,False
Manhunt,2017,8.1,93,True,False,False,False
Naruto,2002,8.3,0,True,True,False,False
Charmed,1998,7.1,75,True,False,False,False
The Dragon Prince,2018,8.4,100,True,False,False,False
Locke & Key,2020,7.4,67,True,False,False,False
Alias Grace,2017,7.8,99,True,False,False,False
American Vandal,2017,8.2,97,True,False,False,False
Santa Clarita Diet,2017,7.8,89,True,False,False,False
Maniac,2018,7.8,85,True,False,False,False
Star Trek: Deep Space Nine,1993,7.9,90,True,True,True,False
The Dark Crystal: Age of Resistance,2019,8.5,87,True,False,False,False
Colony,2016,7.4,92,True,False,False,False
Wild Wild Country,2018,8.2,98,True,False,False,False
Rectify,2013,8.3,95,True,False,False,False
Pose,2018,8.6,96,True,False,False,False
Marvel's Luke Cage,2016,7.3,87,True,False,False,False
Hollywood,2020,7.7,57,True,False,False,False
Derry Girls,2018,8.4,97,True,False,False,False
Dark Matter,2015,7.5,89,True,False,False,False
On My Block,2018,8.1,97,True,False,False,False
Law & Order: Special Victims Unit,1999,8.0,0,True,True,True,False
Longmire,2012,8.3,88,True,False,False,False
The Tudors,2007,8.1,69,True,False,False,False
HAPPY!,2017,8.2,84,True,False,False,False
The Stranger,2020,7.3,89,True,False,False,False
Call the Midwife,2012,8.4,89,True,False,False,False
Into the Night,2020,7.2,83,True,False,False,False
Mystery Science Theater 3000,1988,8.5,80,True,True,False,False
Resurrection: Ertugrul,2014,7.7,0,True,False,False,False
The Inbetweeners,2008,8.4,54,True,False,False,False
Reign,2013,7.5,86,True,False,False,False
Extras,2005,8.3,89,True,False,True,False
The Kominsky Method,2018,8.2,90,True,False,False,False
The 4400,2004,7.3,95,True,False,False,False
The Borgias,2011,7.9,85,True,False,False,False
Marco Polo,2014,8.0,67,True,False,False,False
Queer Eye,2018,8.5,91,True,False,False,False
The Spy,2019,7.9,86,True,False,False,False
Love,2016,7.7,94,True,False,False,False
Designated Survivor,2016,7.5,71,True,False,False,False
Ripper Street,2012,8.1,100,True,False,False,False
Feel Good,2020,7.5,100,True,False,False,False
Hell on Wheels,2011,8.3,72,True,False,False,False
The Fosters,2013,7.9,97,True,False,False,False
Hawaii Five-0,2010,7.3,82,True,False,False,False
Marvel's The Defenders,2017,7.3,78,True,False,False,False
Allo 'Allo!,1984,8.3,0,True,False,False,False
Supergirl,2015,6.3,88,True,False,False,False
Star Trek: Voyager,1995,7.8,77,True,True,True,False
